state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,leaf sev (%),rust resp (0-9),leaf sev. (%),rust resp (0-9)
Texas,Chillicothe,3 replications,CI1442,1,1592,78,112,.,40,8,70,8
Texas,Chillicothe,3 replications,CI13996,2,3513,75.4,114,112,0,2,70,8
Texas,Chillicothe,3 replications,PI495594,3,3367,74.7,89,99,60,8,99,8
Texas,Chillicothe,3 replications,OK88W833,4,3950,78.8,93,100,5,3,50,8
Texas,Chillicothe,3 replications,OK89499,5,4764,77.6,91,101,20,8,50,8
Texas,Chillicothe,3 replications,OK89399,6,4060,75.6,88,99,5,8,90,8
Texas,Chillicothe,3 replications,OK89421,7,3369,75.5,97,101,20,8,90,8
Texas,Chillicothe,3 replications,TX88V4636,8,3674,73.6,88,104,20,8,90,8
Texas,Chillicothe,3 replications,TX84V1418HF,9,3374,76.8,92,104,10,7,80,8
Texas,Chillicothe,3 replications,TX88V5440,10,4116,76.5,87,100,5,7,70,8
Texas,Chillicothe,3 replications,TX88V4635,11,4183,73.4,91,100,30,8,90,8
Texas,Chillicothe,3 replications,TX87V1613,12,4371,77.8,96,100,10,7,50,7
Texas,Chillicothe,3 replications,TX88V4524,13,4170,76.4,87,100,20,8,70,8
Texas,Chillicothe,3 replications,TX89V4138,14,5270,77.3,89,95,45,8,90,8
Texas,Chillicothe,3 replications,TX88V5433,15,3607,76.8,86,106,0,2,99,8
Texas,Chillicothe,3 replications,TX88A6480,16,3544,75.1,88,100,20,8,90,8
Texas,Chillicothe,3 replications,TX88A6533,17,2589,73.9,80,108,60,8,90,8
Texas,Chillicothe,3 replications,C0860086,18,2598,71.8,80,113,30,8,70,8
Texas,Chillicothe,3 replications,C0860094,19,2833,75.3,86,115,30,8,10,8
Texas,Chillicothe,3 replications,C0860235,20,2670,74.1,83,115,10,8,10,8
Texas,Chillicothe,3 replications,C0870449,21,3022,73.8,85,100,10,8,90,8
Texas,Chillicothe,3 replications,KSSB-369-7,22,4932,75.6,94,99,10,8,60,8
Texas,Chillicothe,3 replications,KS831374-142,23,4035,77.7,90,101,0,2,80,8
Texas,Chillicothe,3 replications,KS84170E-8-3,24,3874,77.2,71,106,10,8,30,7
Texas,Chillicothe,3 replications,HBC302E,25,4418,77.1,95,100,10,8,80,8
Texas,Chillicothe,3 replications,KS87H325-2,26,4154,76.9,98,101,10,8,70,8
Texas,Chillicothe,3 replications,KS89H48-1,27,4490,76.2,101,111,10,8,30,7
Texas,Chillicothe,3 replications,KS89H50-4,28,4360,76.8,106,111,5,8,70,8
Texas,Chillicothe,3 replications,N87V106,29,4490,76.8,97,101,0,2,60,8
Texas,Chillicothe,3 replications,NE88595,30,3396,72.1,92,111,20,8,70,8
Texas,Chillicothe,3 replications,NE88427,31,3042,74,89,115,20,8,70,8
Texas,Chillicothe,3 replications,NE88584,32,3645,74.6,108,108,10,7,80,8
Texas,Chillicothe,3 replications,NE88588,33,3428,77.1,110,108,10,8,80,8
Texas,Chillicothe,3 replications,XH1319,34,3672,75.8,95,99,20,8,70,8
Texas,Chillicothe,3 replications,XH1436,35,4082,75.8,95,101,20,8,80,8
Texas,Chillicothe,3 replications,XH1437,36,3988,77.3,106,104,.,5,60,7
Texas,Chillicothe,3 replications,XH1497,37,3986,76.5,92,104,10,8,99,8
Texas,Chillicothe,3 replications,W87-018,38,4456,76,89,111,5,7,30,8
Texas,Chillicothe,3 replications,WI88-181,39,4898,79.2,85,92,20,8,90,8
Texas,Chillicothe,3 replications,WI88-028,40,2932,73.4,74,108,40,8,80,8
Texas,Chillicothe,3 replications,T13,41,2638,70.6,88,111,50,7,90,8
Texas,Chillicothe,3 replications,T67,42,3697,78.4,99,104,5,7,80,8
Texas,Chillicothe,3 replications,T21-3,43,3582,72.1,96,111,20,8,90,8
Texas,Chillicothe,3 replications,TH901,44,3656,76,95,101,5,7,90,8
Texas,Chillicothe,3 replications,TH902,45,3255,74.8,97,104,40,8,90,8
