state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,hail damage 0-9
COLORADO,JULESBURG,3,KS92P059E,24,4632,73.9,1
COLORADO,JULESBURG,3,XH1520,36,4620,77.1,0
COLORADO,JULESBURG,3,XH1485,35,4531,76,0
COLORADO,JULESBURG,3,XH1529,37,4411,77.5,0
COLORADO,JULESBURG,3,OK88767-11,4,4335,77.3,0
COLORADO,JULESBURG,3,KS92P0263-137,25,4297,76.5,0
COLORADO,JULESBURG,3,TX90V8410,13,4247,75.9,0
COLORADO,JULESBURG,3,OK88767-15,6,4219,78,0
COLORADO,JULESBURG,3,NE90479,31,4217,79.1,0
COLORADO,JULESBURG,3,NE90574,33,4200,73.9,0
COLORADO,JULESBURG,3,TX91V4931,12,4122,79.6,1
COLORADO,JULESBURG,3,TX88A6533,9,4119,77.1,0
COLORADO,JULESBURG,3,XH1610,38,4093,75.1,0
COLORADO,JULESBURG,3,Xh1455,34,4054,77,0
COLORADO,JULESBURG,3,MV16-85,50,4039,73.3,0
COLORADO,JULESBURG,3,KS831374-142,22,4033,76.4,0
COLORADO,JULESBURG,3,CO880210,20,4021,76.2,1
COLORADO,JULESBURG,3,KS92P0425-155,27,4019,74.9,1
COLORADO,JULESBURG,3,TX90D9277,10,3936,74.9,1
COLORADO,JULESBURG,3,JULES,47,3905,72.6,0
COLORADO,JULESBURG,3,T64,44,3832,76.5,0
COLORADO,JULESBURG,3,OK88767-24,7,3824,78,0
COLORADO,JULESBURG,3,KS89H48-1,28,3815,76.9,0
COLORADO,JULESBURG,3,CO880169,19,3766,76.5,0
COLORADO,JULESBURG,3,CO880240,21,3740,76,0
COLORADO,JULESBURG,3,T13,41,3701,75.7,0
COLORADO,JULESBURG,3,OK88767-02,5,3680,78.6,0
COLORADO,JULESBURG,3,TAM-107,3,3636,74.4,1
COLORADO,JULESBURG,3,YUMA,46,3614,74.6,1
COLORADO,JULESBURG,3,TX91V5739,15,3562,75.2,0
COLORADO,JULESBURG,3,TX89A7137,11,3542,75.2,3
COLORADO,JULESBURG,3,NE90524,32,3540,77.8,3
COLORADO,JULESBURG,3,T70,43,3532,77.9,1
COLORADO,JULESBURG,3,TX88A6480,8,3526,74.4,1
COLORADO,JULESBURG,3,WI89-055,40,3485,78.3,2
COLORADO,JULESBURG,3,KS92P0363-134,26,3440,74.4,1
COLORADO,JULESBURG,3,TX90V7911,14,3394,77.9,0
COLORADO,JULESBURG,3,KS92P0363-9-7,23,3375,76.6,1
COLORADO,JULESBURG,3,T4731,42,3374,71.6,1
COLORADO,JULESBURG,3,TX89A7141,17,3362,75.2,1
COLORADO,JULESBURG,3,CO880054,18,3262,74.7,1
COLORADO,JULESBURG,3,LAMAR,48,3250,77.3,2
COLORADO,JULESBURG,3,TH905,45,3242,74.8,1
COLORADO,JULESBURG,3,N87V106,29,3163,76.8,2
COLORADO,JULESBURG,3,TX91V3308,16,3098,75.2,2
COLORADO,JULESBURG,3,W87-017-44,39,3050,77.5,4
COLORADO,JULESBURG,3,Scout66,2,2914,77.4,1
COLORADO,JULESBURG,3,CO840186,49,2710,76.5,0
COLORADO,JULESBURG,3,NE88584,30,2095,77.3,3
COLORADO,JULESBURG,3,Kharkof ,1,1765,75.9,0
