state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),lodging (0-9),straw strength (0-5),stand (%)
Idaho,Aberdeen,2 replications,CI1442,1,5161,79.2,112,8,3.5,98
Idaho,Aberdeen,2 replications,CI13996,2,5619,81.1,109,6.5,4.5,98
Idaho,Aberdeen,2 replications,PI495594,3,9338,81.3,99,0.5,2,95
Idaho,Aberdeen,2 replications,OK88W833,4,7730,82.2,107,1.5,2,95
Idaho,Aberdeen,2 replications,OK89499,5,8561,81.8,112,2.5,2.5,95
Idaho,Aberdeen,2 replications,OK89399,6,7700,79.9,112,3,2.5,98
Idaho,Aberdeen,2 replications,OK89421,7,8571,80.4,112,6,3.5,100
Idaho,Aberdeen,2 replications,TX88V4636,8,8776,79.3,102,2,2.5,88
Idaho,Aberdeen,2 replications,TX84V1418HF,9,7421,79.9,112,0.5,2.5,95
Idaho,Aberdeen,2 replications,TX88V5440,10,6069,79.7,91,0.5,2,83
Idaho,Aberdeen,2 replications,TX88V4635,11,10168,80.4,107,5.5,4,85
Idaho,Aberdeen,2 replications,TX87V1613,12,9025,82.2,94,1,2,98
Idaho,Aberdeen,2 replications,TX88V4524,13,6032,81.3,86,1,2,90
Idaho,Aberdeen,2 replications,TX89V4138,14,10407,84.1,107,3.5,3.5,98
Idaho,Aberdeen,2 replications,TX88V5433,15,7381,81.3,99,1,2.5,93
Idaho,Aberdeen,2 replications,TX88A6480,16,9926,81.9,97,3.5,2.5,100
Idaho,Aberdeen,2 replications,TX88A6533,17,8699,81.1,91,1.5,2.5,95
Idaho,Aberdeen,2 replications,C0860086,18,10706,80.4,99,1,1.5,100
Idaho,Aberdeen,2 replications,C0860094,19,8389,75.7,107,2.5,2.5,93
Idaho,Aberdeen,2 replications,C0860235,20,9422,80.4,102,1,1.5,95
Idaho,Aberdeen,2 replications,C0870449,21,8114,81.8,107,1,1.5,75
Idaho,Aberdeen,2 replications,KSSB-369-7,22,6863,82.2,86,1,1.5,93
Idaho,Aberdeen,2 replications,KS831374-142,23,4795,79.9,91,1,1.5,93
Idaho,Aberdeen,2 replications,KS84170E-8-3,24,6234,81.8,112,1,2,93
Idaho,Aberdeen,2 replications,HBC302E,25,7687,81.9,102,1,1.5,98
Idaho,Aberdeen,2 replications,KS87H325-2,26,6187,81,97,1.5,2.5,100
Idaho,Aberdeen,2 replications,KS89H48-1,27,5938,79.9,91,3,3.5,100
Idaho,Aberdeen,2 replications,KS89H50-4,28,6712,81.1,94,5.5,5,100
Idaho,Aberdeen,2 replications,N87V106,29,6459,79.7,107,1.5,2.5,95
Idaho,Aberdeen,2 replications,NE88595,30,8265,81,107,1,2,90
Idaho,Aberdeen,2 replications,NE88427,31,8104,81.1,107,3,2.5,78
Idaho,Aberdeen,2 replications,NE88584,32,6379,80.4,107,3.5,3,98
Idaho,Aberdeen,2 replications,NE88588,33,5030,80.4,102,1,2.5,100
Idaho,Aberdeen,2 replications,XH1319,34,6833,80.6,97,1,2,98
Idaho,Aberdeen,2 replications,XH1436,35,8642,80.5,112,1.5,2,93
Idaho,Aberdeen,2 replications,XH1437,36,7878,80.6,117,4,3.5,100
Idaho,Aberdeen,2 replications,XH1497,37,8746,81.1,102,1,2.5,100
Idaho,Aberdeen,2 replications,W87-018,38,6510,81.8,89,1,2.5,90
Idaho,Aberdeen,2 replications,WI88-181,39,8433,81.7,91,1,2,85
Idaho,Aberdeen,2 replications,WI88-028,40,8040,81,81,1,1.5,83
Idaho,Aberdeen,2 replications,T13,41,9112,79.3,107,3,3,88
Idaho,Aberdeen,2 replications,T67,42,6493,81,117,3,2,88
Idaho,Aberdeen,2 replications,T21-3,43,7677,80.6,107,5.5,3,90
Idaho,Aberdeen,2 replications,TH901,44,5925,80.4,97,2,3.5,90
,,,TH902,45,,,,,,
Idaho,Aberdeen,2 replications,IDO0360,46,8722,78.4,107,3,3,93
