state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1,lodging 0-9,winter survival %,mildew %,byd virus %,septoria tritici %
MISSOURI,COLUMBIA,3,T4731,42,3747,68.3,97,137,1,98,2,3,57
MISSOURI,COLUMBIA,3,TAM-107,3,3669,70.7,95,134,1.3,99,0,4,63
MISSOURI,COLUMBIA,3,KS92P0425-155,27,3327,69.4,88,138,2,98,3,2,37
MISSOURI,COLUMBIA,3,KS92P0363-134,26,3126,70.2,95,137,0.7,98,11,4,43
MISSOURI,COLUMBIA,3,N87V106,29,3063,70.5,101,135,1.7,98,7,4,48
MISSOURI,COLUMBIA,3,KARL,46,2808,73.1,92,135,1,99,2,9,37
MISSOURI,COLUMBIA,3,KARL92,49,2794,71.7,91,134,1.3,98,1,7,42
MISSOURI,COLUMBIA,3,CARDINAL,47,2791,69.4,102,138,0.3,98,4,2,40
MISSOURI,COLUMBIA,3,TX89A7137,11,2758,69.1,97,135,1,98,1,7,61
MISSOURI,COLUMBIA,3,XH1455,34,2752,73,99,136,1.7,98,3,5,47
MISSOURI,COLUMBIA,3,NE90574,33,2740,70,103,140,1.7,98,1,4,38
MISSOURI,COLUMBIA,3,TX91V3308,16,2731,67.4,90,136,1.3,97,0,9,48
MISSOURI,COLUMBIA,3,NE90524,32,2713,74.6,112,137,1,99,13,2,42
MISSOURI,COLUMBIA,3,KS92P0263-137,25,2706,71,97,138,1,97,7,3,38
MISSOURI,COLUMBIA,3,TX89A7141,17,2677,70.4,92,135,1.3,95,1,9,73
MISSOURI,COLUMBIA,3,TX90D9277,10,2662,71.3,99,137,0.3,97,0,6,43
MISSOURI,COLUMBIA,3,XH1529,37,2647,72,96,134,1,98,5,4,45
MISSOURI,COLUMBIA,3,T13,41,2636,69.6,102,137,1.7,97,1,4,53
MISSOURI,COLUMBIA,3,WI89-055,40,2623,72,90,136,0.3,97,3,4,63
MISSOURI,COLUMBIA,3,NE88584,30,2621,74.3,115,138,1.7,98,5,5,42
MISSOURI,COLUMBIA,3,OK88767-11,4,2618,69.9,92,134,0.7,98,1,4,72
MISSOURI,COLUMBIA,3,OK88767-15,6,2614,71.5,86,136,0.3,97,0,4,53
MISSOURI,COLUMBIA,3,TH905,45,2592,69,103,135,1,99,3,34,52
MISSOURI,COLUMBIA,3,OK88767-24,7,2591,70,94,135,0.7,98,0,3,77
MISSOURI,COLUMBIA,3,TX90V7911,14,2551,69.8,97,137,1,98,5,6,52
MISSOURI,COLUMBIA,3,OK88767-02,5,2548,73.4,93,135,0,95,0,5,62
MISSOURI,COLUMBIA,3,KS831374-142,22,2543,72.3,88,134,1,97,3,9,42
MISSOURI,COLUMBIA,3,T70,43,2522,70.9,91,136,0.3,98,0,3,48
MISSOURI,COLUMBIA,3,KS92P059E,24,2476,66,95,137,1,98,6,4,43
MISSOURI,COLUMBIA,3,NE90479,31,2464,71.7,103,137,0.3,98,6,7,37
MISSOURI,COLUMBIA,3,CO880240,21,2447,69.4,102,143,1,97,3,3,40
MISSOURI,COLUMBIA,3,CO880210,20,2435,69.8,95,136,2,96,0,3,57
MISSOURI,COLUMBIA,3,CO880054,18,2343,67.4,95,137,1.3,96,0,14,50
MISSOURI,COLUMBIA,3,KS89H48-1,28,2327,72.6,102,137,1.7,98,5,3,45
MISSOURI,COLUMBIA,3,TX88A6533,9,2260,71,87,137,0.3,98,1,5,64
MISSOURI,COLUMBIA,3,XH1520,36,2257,73.2,99,135,1,98,4,9,58
MISSOURI,COLUMBIA,3,T64,44,2235,71.2,102,136,1.3,98,3,5,55
MISSOURI,COLUMBIA,3,XH1610,38,2206,70.3,105,136,1,95,0,12,70
MISSOURI,COLUMBIA,3,W87-017-44,39,2199,69.6,93,137,0.3,96,0,16,72
MISSOURI,COLUMBIA,3,XH1485,35,2185,71.4,103,136,3,98,9,3,48
MISSOURI,COLUMBIA,3,KS84063-9-7,23,2168,70.1,99,136,0.3,99,10,12,43
MISSOURI,COLUMBIA,3,Co880169,19,2117,69.4,97,138,0.7,95,13,8,62
MISSOURI,COLUMBIA,3,Scout66,2,2105,74.1,119,139,3.7,98,5,11,35
MISSOURI,COLUMBIA,3,TX91V4931,12,2045,74.2,94,135,0.3,97,0,4,52
MISSOURI,COLUMBIA,3,TX91V5739,15,2039,66.5,97,134,1.3,97,1,14,50
MISSOURI,COLUMBIA,3,2180,48,2028,67.8,80,133,0,97,32,8,70
MISSOURI,COLUMBIA,3,TX90V8410,13,2005,69.9,97,137,1.3,93,5,4,42
MISSOURI,COLUMBIA,3,TX88A6480,8,1989,65.7,90,136,2,98,12,32,75
MISSOURI,COLUMBIA,3,Kharkof,1,1298,71.3,117,148,4.3,98,12,9,45
