state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,winter survival %
IOWA,CRAWFORDSVILLE,1,XH1529,37,3907,62.8,88,95
IOWA,CRAWFORDSVILLE,1,XH1520,36,3874,65.5,92,100
IOWA,CRAWFORDSVILLE,1,XH1485,35,3860,63.3,92,100
IOWA,CRAWFORDSVILLE,1,KS831374-142,22,3813,68.2,82,100
IOWA,CRAWFORDSVILLE,1,T4731,42,3551,61.4,86,95
IOWA,CRAWFORDSVILLE,1,KS89H48-1,28,3537,66.2,96,100
IOWA,CRAWFORDSVILLE,1,XH1455,34,3524,66.6,94,100
IOWA,CRAWFORDSVILLE,1,OK88767-11,4,3457,61.5,84,100
IOWA,CRAWFORDSVILLE,1,NE90574,33,3356,62.2,98,100
IOWA,CRAWFORDSVILLE,1,TX89A7141,17,3289,62.8,84,100
IOWA,CRAWFORDSVILLE,1,KS92P0425-155,27,3275,58.4,82,100
IOWA,CRAWFORDSVILLE,1,OK88767-15,6,3107,63.1,74,95
IOWA,CRAWFORDSVILLE,1,OK88767-24,7,3107,63.2,80,100
IOWA,CRAWFORDSVILLE,1,TH905,45,3046,63.3,92,100
IOWA,CRAWFORDSVILLE,1,TX88A6533,9,3040,60.9,78,100
IOWA,CRAWFORDSVILLE,1,KS84063-9-7,23,2993,60.9,90,90
IOWA,CRAWFORDSVILLE,1,NE88584,30,2986,61.9,106,100
IOWA,CRAWFORDSVILLE,1,T13,41,2986,58.6,90,100
IOWA,CRAWFORDSVILLE,1,TX89A7137,11,2972,61,86,100
IOWA,CRAWFORDSVILLE,1,TX91V5739,15,2932,61.9,76,90
IOWA,CRAWFORDSVILLE,1,CO880169,19,2925,60.4,88,100
IOWA,CRAWFORDSVILLE,1,CO880240,21,2865,60.9,102,100
IOWA,CRAWFORDSVILLE,1,TX88A6480,8,2838,57.1,78,95
IOWA,CRAWFORDSVILLE,1,KS92P059E,24,2825,58.6,90,95
IOWA,CRAWFORDSVILLE,1,XH1610,38,2791,59,88,100
IOWA,CRAWFORDSVILLE,1,KS92P0363-134,26,2757,59.5,92,100
IOWA,CRAWFORDSVILLE,1,TAM-107,3,2737,59.1,86,95
IOWA,CRAWFORDSVILLE,1,TX90V8410,13,2710,61,86,90
IOWA,CRAWFORDSVILLE,1,TX90D9277,10,2697,58.2,86,85
IOWA,CRAWFORDSVILLE,1,NE90524,32,2683,53.1,108,95
IOWA,CRAWFORDSVILLE,1,T70,43,2596,55.3,82,90
IOWA,CRAWFORDSVILLE,1,Scout66,2,2576,59.5,102,100
IOWA,CRAWFORDSVILLE,1,T64,44,2569,56.9,90,95
IOWA,CRAWFORDSVILLE,1,TX91V3308,16,2562,57.5,86,85
IOWA,CRAWFORDSVILLE,1,NE90479,31,2562,63.1,102,100
IOWA,CRAWFORDSVILLE,1,KS92P0263-137,25,2515,58.4,88,100
IOWA,CRAWFORDSVILLE,1,WI89-055,40,2482,60,78,95
IOWA,CRAWFORDSVILLE,1,N87V106,29,2441,53.5,100,90
IOWA,CRAWFORDSVILLE,1,CO880210,20,2374,57.5,86,100
IOWA,CRAWFORDSVILLE,1,TX91V4931,12,2354,,85,80
IOWA,CRAWFORDSVILLE,1,W87-017-44,39,2320,58.1,88,95
IOWA,CRAWFORDSVILLE,1,CO880054,18,2313,54.4,92,100
IOWA,CRAWFORDSVILLE,1,TX90V7911,14,2192,,87,95
IOWA,CRAWFORDSVILLE,1,Kharkof,1,1749,,114,100
IOWA,CRAWFORDSVILLE,1,OK88767-02,5,599,,80,100
